,lake,replicate,year,subsample,subsample_merged,color,depth,pinnacle,size,depth_word,depth_subsample,distance
LV-19-MP5-BRO-1,Vanda,no,2013,4brown,3.5ridge_brown,1brown,19,MP5,medium,shallow,4brownshallow,0
LV-19-MP5-G1,Vanda,no,2013,5green,5green,5green,19,MP5,medium,shallow,5greenshallow,1
LV-19-MP5-G2,Vanda,yes,2013,5green,5green,5green,19,MP5,medium,shallow,5greenshallow,1
LV-19-MP5-IB-1,Vanda,no,2013,7beige,7beige,7beige,19,MP5,medium,shallow,7beigeshallow,2
LV-19-MP5-IB-2,Vanda,yes,2013,7beige,7beige,7beige,19,MP5,medium,shallow,7beigeshallow,2
LV-19-MP5-P2,Vanda,no,2013,6pink,6pink,6pink,19,MP5,medium,shallow,6pinkshallow,1
LV-19-MP6-BRO-1,Vanda,no,2013,4brown,3.5ridge_brown,1brown,19,MP6,medium,shallow,4brownshallow,0
LV-19-MP6-BRO-2,Vanda,yes,2013,4brown,3.5ridge_brown,1brown,19,MP6,medium,shallow,4brownshallow,0
LV-19-MP6-G1,Vanda,no,2013,5green,5green,5green,19,MP6,medium,shallow,5greenshallow,1
LV-19-MP6-G2,Vanda,yes,2013,5green,5green,5green,19,MP6,medium,shallow,5greenshallow,1
LV-19-MP6-IB-1,Vanda,no,2013,7beige,7beige,7beige,19,MP6,medium,shallow,7beigeshallow,2
LV-19-MP6-IB-2,Vanda,yes,2013,7beige,7beige,7beige,19,MP6,medium,shallow,7beigeshallow,2
LV-19-MP6-P1,Vanda,no,2013,6pink,6pink,6pink,19,MP6,medium,shallow,6pinkshallow,1
LV-19-MP6-P2,Vanda,yes,2013,6pink,6pink,6pink,19,MP6,medium,shallow,6pinkshallow,1
LV-19-MP7-BRO-1,Vanda,no,2013,4brown,3.5ridge_brown,1brown,19,MP7,medium,shallow,4brownshallow,0
LV-19-MP7-BRO-2,Vanda,yes,2013,4brown,3.5ridge_brown,1brown,19,MP7,medium,shallow,4brownshallow,0
